Region,Standing Charge January to March 2026 (pence/day),Standing Charge April to June 2026 (pence/day),Unit Rate January to March 2026 (pence/kWh),Unit Rate April to June 2026 (pence/kWh),PaymentMethod,EnergyType
Southern Scotland,42.91,36.72,6.2,5.94,Standard Credit,Economy 7
North Wales and Mersey,42.91,36.72,6.26,5.99,Standard Credit,Economy 7
London,42.9,36.7,6.35,6.23,Standard Credit,Economy 7
South East,42.92,36.71,6.14,6.11,Standard Credit,Economy 7
Eastern,42.91,36.72,6.18,5.98,Standard Credit,Economy 7
East Midlands,42.92,36.73,6.1,5.9,Standard Credit,Economy 7
Midlands,42.91,36.72,6.16,5.99,Standard Credit,Economy 7
Southern Western,42.89,36.7,6.47,6.2,Standard Credit,Economy 7
South Wales,42.9,36.71,6.43,6.15,Standard Credit,Economy 7
Great Britain average,42.91,36.71,6.25,6.04,Standard Credit,Economy 7
North West,52.22,47.63,27.57,23.96,Prepayment Meter,Electricity
Northern,60.93,64.3,25.93,23.09,Prepayment Meter,Electricity
Yorkshire,59.72,64.4,25.87,23.13,Prepayment Meter,Electricity
Northern Scotland,62.07,57.57,27.49,24.26,Prepayment Meter,Electricity
Southern,45.7,49.7,26.97,24.23,Prepayment Meter,Electricity
Southern Scotland,57.62,64.2,26.35,23.66,Prepayment Meter,Electricity
North Wales and Mersey,71.01,70.78,28.2,25.4,Prepayment Meter,Electricity
London,47.11,44.83,26.17,24.14,Prepayment Meter,Electricity
South East,48.66,54.45,27.4,24.46,Prepayment Meter,Electricity
Eastern,49.33,53.95,27.03,24.18,Prepayment Meter,Electricity
East Midlands,50.17,53.61,26.06,22.96,Prepayment Meter,Electricity
Midlands,54.08,59.72,26.16,23.17,Prepayment Meter,Electricity
Southern Western,55.11,57.9,27.29,24.21,Prepayment Meter,Electricity
South Wales,52.75,57.86,27.32,24.15,Prepayment Meter,Electricity
Great Britain average,54.75,57.21,26.84,23.93,Prepayment Meter,Electricity
North West,51.49,46.92,26.15,22.34,Prepayment Meter,Gas
Northern,60.14,63.5,24.81,21.63,Prepayment Meter,Gas
Yorkshire,59.05,63.72,24.82,21.74,Prepayment Meter,Gas
Northern Scotland,62.89,58.28,26.18,22.69,Prepayment Meter,Gas
Southern,45.73,49.69,25.74,22.65,Prepayment Meter,Gas
Southern Scotland,58.4,64.81,25.15,22.13,Prepayment Meter,Gas
North Wales and Mersey,70.21,69.98,26.8,23.69,Prepayment Meter,Gas
London,46.63,44.41,25.03,22.5,Prepayment Meter,Gas
South East,49.04,54.74,26.07,22.82,Prepayment Meter,Gas
Eastern,49.65,54.18,25.78,22.61,Prepayment Meter,Gas
East Midlands,49.57,53.05,24.93,21.53,Prepayment Meter,Gas
Midlands,53.67,59.34,25.05,21.76,Prepayment Meter,Gas
Southern Western,55.59,58.32,25.97,22.6,Prepayment Meter,Gas
South Wales,51.74,56.85,26.04,22.6,Prepayment Meter,Gas
Great Britain average,54.56,56.99,25.61,22.38,Prepayment Meter,Gas
North West,35.23,29.22,5.65,5.41,Prepayment Meter,Economy 7
Northern,35.21,29.2,5.74,5.51,Prepayment Meter,Economy 7
Yorkshire,35.18,29.18,5.68,5.46,Prepayment Meter,Economy 7
Northern Scotland,35.28,29.27,5.65,5.41,Prepayment Meter,Economy 7
Southern,34.56,28.56,5.83,5.77,Prepayment Meter,Economy 7
Southern Scotland,35.3,29.3,5.65,5.41,Prepayment Meter,Economy 7
North Wales and Mersey,35.49,29.48,5.7,5.45,Prepayment Meter,Economy 7
London,35.63,29.6,5.84,5.73,Prepayment Meter,Economy 7
South East,34.68,28.67,5.62,5.59,Prepayment Meter,Economy 7
Eastern,34.74,28.74,5.7,5.51,Prepayment Meter,Economy 7
East Midlands,34.82,28.82,5.57,5.38,Prepayment Meter,Economy 7
Midlands,35.12,29.11,5.63,5.46,Prepayment Meter,Economy 7
Southern Western,34.71,28.72,5.97,5.73,Prepayment Meter,Economy 7
South Wales,35.35,29.35,5.87,5.61,Prepayment Meter,Economy 7
Great Britain average,35.09,29.09,5.72,5.53,Prepayment Meter,Economy 7
